track_number,track_popularity,explicit,artist_popularity,artist_followers,artist_genres,album_id,album_release_date,album_total_tracks,album_type,track_duration_min,release_year,release_month
1,40,True,22,32,,7w0Lzkx5mCSJPUTIQZjxgL,2025-09-12,1,single,1.69,2025,9
1,41,False,33,1639,afrobeats,0JJqqLQzjelVajz0Pb87qY,2025-09-12,1,single,2.99,2025,9
1,33,True,15,39,,0pjQe69BiCOO5C4csSGD5H,2025-09-12,1,single,2.13,2025,9
6,79,False,88,122773292,soft pop,20dY0uZi9SzfrcWYfiWGqH,2025-09-12,13,album,3.59,2025,9
1,15,False,7,1022,arrocha,2gV2oyTSgiwN0my2wLApf2,2025-09-12,1,single,2.97,2025,9
1,85,True,75,282947,"brazilian funk, trap funk, funk consciente",460wiqQRw27a2OHTCegXKF,2025-09-11,1,single,2.64,2025,9
1,16,False,4,4,,27w5XHZuaNhkB8hyf07rYt,2025-09-11,1,single,2.73,2025,9
1,54,False,45,2752,,1O1H7mCSHDjRrughNesgv5,2025-09-11,1,single,2.05,2025,9
2,55,False,85,49083617,"pop rock, alternative pop, pop punk",5BBcARy3vgB43n1VZELFno,2025-09-08,2,single,3.92,2025,9
1,61,False,84,49050008,"pop rock, alternative pop, pop punk",5BBcARy3vgB43n1VZELFno,2025-09-08,2,single,4.11,2025,9
1,30,False,20,1897,,7Awl3HSQuxjjtYECRMGwfw,2025-09-06,1,single,3.04,2025,9
1,44,False,48,10272,,1QGNm8ogCVLC7LpID6oW2e,2025-09-05,3,single,2.81,2025,9
1,54,True,39,9729,,1GygYlo45HwMR1HGwrhy92,2025-09-05,1,single,2.78,2025,9
1,47,False,36,5606,,3s4WBNxX2SLcpjrooq7DLH,2025-09-05,1,single,2.63,2025,9
1,28,False,12,44,,3AbjktdqYdSuLCd5woeiLq,2025-09-05,14,album,3.38,2025,9
1,55,False,64,1211803,,2ElnFFhFJYiHK0KGc4shds,2025-09-05,2,single,2.6,2025,9
3,75,False,91,85008100,"pop, contemporary r&b",2KrREEyHxkdFGYAd1DmMdS,2025-09-05,44,album,2.87,2025,9
3,33,False,20,696,,5Nyg6oKDT5RO3vZeqKn1id,2025-09-04,4,single,3.57,2025,9
1,84,False,88,42237551,"art pop, pop",1KdrtZn2AmuQPHKIr3h4e6,2025-09-03,1,single,3.8,2025,9
15,56,False,88,42237551,"art pop, pop",3ARwSvDQv2OHYnLeDC3Lxi,2025-09-01,17,album,3.9,2025,9
9,80,False,89,42275793,"art pop, pop",3ARwSvDQv2OHYnLeDC3Lxi,2025-09-01,17,album,3.8,2025,9
6,61,False,88,42256604,"art pop, pop",3ARwSvDQv2OHYnLeDC3Lxi,2025-09-01,17,album,4.08,2025,9
17,55,False,88,42237551,"art pop, pop",3ARwSvDQv2OHYnLeDC3Lxi,2025-09-01,17,album,4.19,2025,9
1,61,False,88,42237551,"art pop, pop",3ARwSvDQv2OHYnLeDC3Lxi,2025-09-01,17,album,3.83,2025,9
12,58,False,88,42256604,"art pop, pop",3ARwSvDQv2OHYnLeDC3Lxi,2025-09-01,17,album,3.76,2025,9
3,62,False,88,42256604,"art pop, pop",3ARwSvDQv2OHYnLeDC3Lxi,2025-09-01,17,album,3.99,2025,9
1,37,False,19,267,,1JvpiKfsyL9wgw6akF8K8M,2025-09-01,1,single,3.47,2025,9
8,60,False,88,42256604,"art pop, pop",3ARwSvDQv2OHYnLeDC3Lxi,2025-09-01,17,album,3.55,2025,9
11,60,True,88,42237551,"art pop, pop",3ARwSvDQv2OHYnLeDC3Lxi,2025-09-01,17,album,3.98,2025,9
13,66,False,88,42256604,"art pop, pop",3ARwSvDQv2OHYnLeDC3Lxi,2025-09-01,17,album,4.11,2025,9
7,59,True,88,42256604,"art pop, pop",3ARwSvDQv2OHYnLeDC3Lxi,2025-09-01,17,album,3.51,2025,9
4,60,False,89,42275793,"art pop, pop",3ARwSvDQv2OHYnLeDC3Lxi,2025-09-01,17,album,3.82,2025,9
14,58,False,88,42256604,"art pop, pop",3ARwSvDQv2OHYnLeDC3Lxi,2025-09-01,17,album,3.32,2025,9
10,60,False,88,42237551,"art pop, pop",3ARwSvDQv2OHYnLeDC3Lxi,2025-09-01,17,album,3.22,2025,9
1,39,False,62,973349,,5qrls7LonwyZYXnhxETAEC,2025-09-01,4,single,2.67,2025,9
